ticknumb,gender,day1,day2,day3
3273,0,1.51, , 
3284,0,2,0.76, 
3291,0,1.64, , 
3292,0,1.64, , 
3296,0,1.26, , 
3307,0,2.44,1.02,0.76
3312,0,1.54, , 
3325,0,0.91,0.17, 
3327,0,0.85,0.52,0.44
3329,0,1.05,0.23, 
3349,0,0.82,0.26, 
3365,0,1.58, , 
3366,0,1, , 
3369,0,1.6, , 
3373,0,0.64,0.52, 
3374,0,3.58,3.35, 
3375,0,1.5, , 
3376,0,1.08, , 
3378,0,1.26, , 
3380,0,1.47,1.08,0.58
3393,0,1.82, , 
3412,0,1.14, , 
3419,0,2, , 
3423,0,1.82, , 
3431,0,1.53, , 
3453,0,2.52, , 
3455,0,2.73, , 
3461,0,1.2, , 
3477,0,1.58,0.94,0.94
3493,0,1.55, , 
3495,0,2.23, , 
3501,0,2.51, , 
3503,0,1.08,0.58,0.61
3518,0,1.9,1.17, 
3523,0,1.44, , 
3524,0,0.82, , 
3526,0,1.82, , 
3546,0,1.45,0.82, 
3551,0,2.58, , 
3567,0,1.78,1.14,0.44
3568,0,0.73,0.17,0.76
3571,0,0.43,0.67,0.14
3572,0,0.52,0.38,0.7
3574,0,2.22, , 
3575,0,0.58, , 
3576,0,2, , 
3586,0,1, , 
3587,0,0.3, , 
3588,0,1.52, , 
3594,0,2.34, , 
3597,0,2.35, , 
3605,0,0.82, , 
3606,0,2.73, , 
3610,0,2.05,0.2,0.35
3621,0,1.44, , 
3626,0,1.85,0.35, 
3628,0,1.06,0.76,0.7
3629,0,0.61,0.26,0.33
3647,0,1.47, , 
3648,0,0.96, , 
3649,0,1,1.11,1.2
3652,0,1.47, , 
3659,0,1.84,0.58,0.7
3669,0,0.88, , 
3676,0,2.76, , 
3677,0,1.55,0.32,0.47
3678,0,2.67, , 
3697,0,1.64, , 
3710,0,0.52, , 
3711,0,1.08, , 
3712,0,1.69, , 
3713,0,2.73, , 
3714,0,1.91, , 
3715,0,1.73, , 
3719,0,2.17, , 
3724,0,1.7, , 
3729,0,2.52,0.14, 
3730,0,1.61, , 
3731,0,1.5,1.2,0.91
3734,0,1.15,0.45,0.44
3736,0,1.82, , 
3764,0,1.41, , 
3769,0,1.35, , 
3778,0,0.61,0.14, 
3785,0,1.61, , 
3793,0,1.47,0.35, 
3794,0,1.61, , 
3796,0,2.2,1.5,1.88
3826,0,1.14, , 
3838,0,1.85, , 
3840,0,1.38, , 
3844,0,1.14, , 
3846,0,1.58, , 
3849,0,1.23,0.7,1.02
3851,0,0.67, , 
3858,0,1.35, , 
3859,0,1.94,0.79, 
3860,0,0.5, , 
3872,0,1.41, , 
3873,0,2.02, , 
3875,0,1.94, , 
3876,0,0.67,0.28, 
3883,0,1.94,0.64, 
3890,0,2.17, , 
3909,0,0.47, , 
3912,0,0.62,0.76, 
3914,0,0.45, , 
3920,0,2.5,2.23,0.41
3921,0,1.79, , 
3923,0,0.58,1.05,0.58
3927,0,0.76,0.26, 
3929,0,1.79,1.11, 
3930,0,1.02,0.35, 
3942,0,0.88, , 
3944,0,1.58,0.2,0.2
3947,0,1.47,0.52,0.35
3949,0,1.44,1.76,1.18
3955,0,2.41, , 
3965,0,1.79,0.23, 
3966,0,1.88, , 
3972,0,1.85,0.64,1.32
3986,0,1.97,1.94, 
3993,0,1.05, , 
3994,0,1.79, , 
4010,0,2.85, , 
4013,0,1.23,0.52, 
4014,0,1.97, , 
4025,0,2.88, , 
4030,0,2.52, , 
4033,0,1.73, , 
4079,0,1.97, , 
4089,0,1.2,0.67,0.91
4090,0,2, , 
4093,0,0.81, , 
4114,0,2.02, , 
4149,0,1.61, , 
4150,0,0.73, , 
4151,0,2.5,1.64, 
4156,0,1.44, , 
4157,0,1.64,0.32,0.52
4160,0,0.38,0.02, 
4193,0,3.32, , 
4194,0,1.85,1,1.5
4195,0,2.29, , 
4197,0,2.08,0.7,0.67
4198,0,2.2, , 
4218,0,2, , 
4222,0,0.88,0.26, 
4225,0,1, , 
4234,0,1, , 
4235,0,1.76,0.41,0.88
4240,0,1.58,0.23,1.66
4256,0,1.91, , 
4257,0,1.06, , 
4259,0,1.47,1.23,0.94
4262,0,2.52, , 
4264,0,3.44, , 
4268,0,1.9, , 
4269,0,2.52,2.55, 
4285,0,1.26, , 
4294,0,2.26,0.79, 
4297,0,2.35, , 
4302,0,0.67, , 
4305,0,1.85,1, 
4306,0,1.23,0.2, 
4309,0,1.35, , 
4311,0,1.55, , 
4313,0,2.17, , 
4351,0,0.52, , 
4352,0,0.32, , 
4354,0,2,0.94,0.08
4355,0,1.32,1.02,1.2
4358,0,1.94, , 
4360,0,0.9,0.64, 
4361,0,1.58,0.67, 
4394,0,2.16, , 
4398,0,1.55,0.79,1.76
4439,0,1.35, , 
4440,0,2.08, , 
4444,0,1.7,0, 
4445,0,0.7,0.23,0.45
4446,0,1.51, , 
4452,0,1.14,1.14, 
4454,0,1.52,1.14,1.26
4455,0,0.52, , 
4456,0,1.56, , 
4464,0,0.45, , 
4470,0,3.11, , 
4486,0,1.78,1.02, 
4507,0,0.67,0.94,0.91
4510,0,0.9, , 
4515,0,0.84, , 
4516,0,1.79, , 
4518,0,2.02, , 
4519,0,1.64,0.7, 
4555,0,1.47, , 
4569,0,3.17,1,1.73
4582,0,1.29,1.58,0.81
4597,0,2.67, , 
4598,0,1.85,0.79, 
4611,0,1.24,0.56, 
4663,0,1.08,0.23, 
4666,0,1.14,1.35,1.02
4693,0,1.35,0.17,0.44
4694,0,1,1.7, 
4695,0,2.02, , 
4697,0,0.29,0.14, 
4711,0,0.64, , 
4724,0,2.23,1.41,2.11
4740,0,1.17,0.58, 
4760,0,1.28, , 
2229,1,0.97,1.41,0.29
2384,1,3.03, , 
2401,1,0.88,0.08, 
2467,1,1.56, , 
2478,1,3.02, , 
2504,1,1.11,0.44,0.55
2510,1,0.82,0.2,0.47
2515,1,1.76,1.64,1.58
2521,1,2.79, , 
2533,1,1.91,2.05, 
2535,1,2.32, , 
2551,1,2.05, , 
2558,1,1.61, , 
2562,1,1.66,0.85, 
2565,1,2.3, , 
2566,1,2.76, , 
2568,1,1.44, , 
2586,1,1.06, , 
2606,1,0.26, , 
2609,1,0.47, , 
2611,1,1.73, , 
2624,1,2.08,0.91,0.96
2633,1,1.91, , 
2642,1,1.42, , 
2662,1,0.11, , 
2669,1,2.05, , 
2676,1,1.58, , 
2685,1,1.32, , 
2686,1,2.09, , 
2688,1,2.64, , 
2692,1,2.47,0.23,0.38
2698,1,1.79, , 
2709,1,1.64, , 
2712,1,2.97, , 
2726,1,1.44,0.14, 
2727,1,2.02, , 
2731,1,2.29,1.9, 
2732,1,1.66, , 
2734,1,0.6, , 
2735,1,1.76,0.76,0.29
2736,1,1.5, , 
2737,1,2.08,0.7, 
2748,1,1,0.55, 
2756,1,1.05,0.38, 
2759,1,1.52, , 
2769,1,2.64, , 
2770,1,2.2,1.18, 
2773,1,2, , 
2779,1,2.45, , 
2784,1,1.14,1, 
2791,1,1.85, , 
2794,1,2.58, , 
2796,1,0.61, , 
2807,1,1.94, , 
2811,1,2.29, , 
2813,1,2.46, , 
2814,1,1.67,0.14, 
2825,1,2.02,0.58,0.5
2828,1,2.7,1.7,1.91
2829,1,1.61, , 
2831,1,0.97,1.06,0.76
2842,1,2.76, , 
2862,1,2.23, , 
2863,1,2.05,1.58,2.15
2875,1,2.05, , 
2876,1,2.94, , 
2883,1,2.39, , 
2894,1,2.12, , 
2895,1,1.11, , 
2897,1,0.97, , 
2898,1,1.35, , 
2899,1,2.81,2.08, 
2900,1,2.5, , 
2921,1,1.26, , 
2922,1,1.44, , 
2924,1,1.75, , 
2925,1,2.08, , 
2933,1,2.52, , 
2935,1,3, , 
2936,1,1.41, , 
2937,1,1.08, , 
2941,1,2.26,1.73,1.73
2948,1,2.5, , 
2954,1,1.44,1.14, 
2956,1,1.66, , 
2959,1,2.67, , 
2961,1,1.47, , 
2962,1,1.84, , 
2964,1,2.58, , 
2972,1,2.67, , 
2974,1,1.02, , 
2975,1,1.66,2.12,2.7
2976,1,1.88, , 
2977,1,1.91, , 
2978,1,1.64, , 
2985,1,1.79, , 
2988,1,1.94, , 
2989,1,3.26,1.97,1.67
3008,1,1.5,0.7,0.38
3009,1,2.03, , 
3010,1,2.24, , 
3013,1,1.11, , 
3014,1,2.21, , 
3019,1,1.17,1.35, 
3028,1,1.64, , 
3029,1,2.14, , 
3032,1,1.67, , 
3033,1,1, , 
3034,1,0.88, , 
3049,1,2.32, , 
3052,1,3, , 
3053,1,2.38,0.85, 
3054,1,1.6,1.02, 
3055,1,1.58, , 
3056,1,2.61, , 
3065,1,2.32, , 
3068,1,1.14, , 
3072,1,2.29, , 
3073,1,1, , 
3092,1,1.58, , 
3094,1,0.83, , 
3096,1,1.73, , 
3100,1,1.05, , 
3107,1,2.63, , 
3111,1,2, , 
3114,1,1.32, , 
3116,1,3.14, , 
3131,1,1.41,0.44, 
3132,1,1.94, , 
3135,1,1.85, , 
3137,1,2.23, , 
3139,1,1.47, , 
3146,1,2.2, , 
3148,1,1.42, , 
3168,1,2.44, , 
3171,1,2.66, , 
3173,1,1.35,0.47,0.73
3180,1,1.29, , 
3182,1,2.32, , 
3192,1,2.84, , 
3236,1,1.52, , 
3245,1,1.7, , 
3246,1,0.94,1.17,1.29
3251,1,1.79,0.47, 
3254,1,0.76, , 
3256,1,0.94,0.17, 
3257,1,1.38, , 
3258,1,1.38,0.85, 
3264,1,0.32, , 
3267,1,0.91,1.11,1.7
3275,1,1.47, , 
3276,1,2.5, , 
3277,1,2.26, , 
3278,1,2.81, , 
3279,1,1.87, , 
3281,1,2, , 
3282,1,2.23,0.41,1.02
3290,1,1.41, , 
3306,1,1.52,0.55,1.88
3308,1,2.18, , 
3309,1,3.02, , 
3310,1,1.02, , 
3311,1,2.88, , 
3313,1,1.64, , 
3314,1,2.44,2.5,1.7
3315,1,1.29, , 
3316,1,1.61,0.32,0.26
3321,1,1.77, , 
3326,1,0.85,0.2,0.38
3328,1,1.5, , 
3338,1,3.38, , 
3340,1,1.42,0.52,2
3341,1,1.85, , 
3348,1,1.91,0.84, 
3350,1,1.32,0.76, 
3351,1,2.23,0.85,0.39
3352,1,1.47,1.52,0.17
3363,1,2.7, , 
3367,1,1.44, , 
3368,1,2, , 
3370,1,2.32,2.53,1.67
3371,1,3.41, , 
3372,1,2.02, , 
3377,1,1.52, , 
3379,1,1.68, , 
3390,1,1.47, , 
3391,1,1.67,1.55, 
3392,1,2.47,1.97, 
3394,1,2.17, , 
3395,1,3.21, , 
3397,1,1.6,1.38,1.02
3398,1,0.32, , 
3407,1,0.55, , 
3411,1,1.42, , 
3413,1,2.64, , 
3416,1,2.58, , 
3418,1,2.02, , 
3420,1,2.9, , 
3429,1,0.5, , 
3449,1,2.48, , 
3450,1,2.05, , 
3454,1,1.88, , 
3456,1,2.88, , 
3457,1,1.67, , 
3458,1,1.93, , 
3460,1,1.67, , 
3464,1,2.75, , 
3467,1,1.94,0.97, 
3468,1,0.59, , 
3469,1,1.5, , 
3480,1,2.23,0.11,0.17
3483,1,2.35, , 
3490,1,2.55,0.82,0.29
3494,1,2.31, , 
3500,1,0.67,0.5, 
3510,1,2.44, , 
3511,1,0.23,0.14, 
3512,1,2.17, , 
3519,1,1.67,0.44, 
3521,1,2,0.58,0.52
3522,1,2.44, , 
3525,1,2.5, , 
3536,1,1.97, , 
3539,1,2.52, , 
3540,1,0.05, , 
3542,1,2.08, , 
3545,1,2.39, , 
3557,1,2.12, , 
3565,1,2.02,0.76,0.55
3569,1,2.26,0.9,1.85
3570,1,2.79, , 
3573,1,2.32, , 
3577,1,0.7, , 
3593,1,1.58,0.35, 
3595,1,0.79, , 
3596,1,2.26, , 
3598,1,1.7, , 
3599,1,3.09, , 
3600,1,1.52, , 
3601,1,0.35, , 
3602,1,2.7, , 
3603,1,1.64, , 
3607,1,2.23, , 
3609,1,1.06, , 
3613,1,1.73,1.44, 
3614,1,0.93,0.91, 
3620,1,2.5,2.44, 
3622,1,2.88, , 
3625,1,0.67,0.23,0.44
3627,1,1.21,0.79, 
3631,1,2, , 
3634,1,1.17,0.73,1.17
3635,1,1.48,0.79,1.55
3645,1,1.55, , 
3646,1,3.29, , 
3653,1,2.55,2.38, 
3654,1,0.44,0.06, 
3655,1,2.35,2.41, 
3656,1,1.71,0.85, 
3660,1,1.11,0.23,0.55
3667,1,1.38, , 
3670,1,0.94, , 
3672,1,1.91, , 
3680,1,1.03,0.29,0.72
3696,1,2.5, , 
3698,1,2.26, , 
3709,1,2.14, , 
3716,1,3.21, , 
3717,1,2.11, , 
3718,1,2.05, , 
3720,1,2.17, , 
3721,1,2.3, , 
3722,1,2.56, , 
3723,1,2.11,0.41,0.47
3725,1,1.23, , 
3726,1,3.2, , 
3727,1,2.02, , 
3728,1,2.64, , 
3753,1,1.5, , 
3754,1,2.32, , 
3759,1,2.92, , 
3779,1,0.73, , 
3782,1,2.23,1.88, 
3783,1,1.32,0.91, 
3784,1,2.94,1.79, 
3786,1,1, , 
3787,1,3.15,3, 
3788,1,2.88, , 
3791,1,2.09,1.21, 
3792,1,1.32,1.7,2.29
3797,1,2.78, , 
3798,1,2.06, , 
3799,1,0.47, , 
3804,1,2.87, , 
3828,1,3.32,3.21, 
3831,1,2.08,1.38, 
3836,1,2.38,2.5, 
3837,1,2.08, , 
3850,1,2.53, , 
3854,1,0.73, , 
3855,1,1.34, , 
3856,1,2.14,0.7, 
3857,1,1, , 
3869,1,3.08, , 
3870,1,2.88, , 
3871,1,1.91, , 
3874,1,0.76, , 
3879,1,2.41, , 
3880,1,2.17, , 
3882,1,2.67,0.41, 
3888,1,2.05,0.85,1.7
3913,1,2, , 
3916,1,2.29,0.91,1.38
3917,1,2.55, , 
3918,1,0.82, , 
3919,1,3.12,2.2, 
3922,1,2.28, , 
3924,1,2.5,1.29, 
3925,1,1.41, , 
3926,1,2.14, , 
3932,1,2.62, , 
3945,1,2.2, , 
3946,1,1.14, , 
3948,1,1.41,0.23,0.38
3950,1,1.23,1.17, 
3951,1,1.82, , 
3952,1,2.44, , 
3954,1,1.94,1.2, 
3964,1,2.27, , 
3973,1,2.21, , 
3987,1,2.51, , 
3988,1,2.05, , 
3989,1,1.29,1,0.82
3990,1,2.05, , 
3991,1,2.23, , 
3992,1,1.76, , 
3995,1,1.02,0.73,0.47
3996,1,2.76,1.58, 
3997,1,1.67,0.55, 
4011,1,0.23,0.84, 
4012,1,1.9, , 
4015,1,1.5, , 
4016,1,3.69, , 
4017,1,0.5, , 
4022,1,2.18, , 
4023,1,2.17, , 
4024,1,1.58, , 
4032,1,2.2, , 
4034,1,2.23, , 
4092,1,1.91, , 
4095,1,1.31, , 
4096,1,0.38, , 
4101,1,1.97, , 
4104,1,0.38, , 
4105,1,2.11,0.76,0.85
4106,1,3.2, , 
4107,1,0.02, , 
4109,1,2.56, , 
4110,1,2.02, , 
4111,1,2.3, , 
4147,1,2.05, , 
4148,1,1.7, , 
4152,1,2.18,1.75,1.91
4153,1,2.46,1.08,1.91
4154,1,1.5,0.91, 
4155,1,1.73,0.94, 
4158,1,20.02,2.44, 
4159,1,1.2,0.17,0.2
4161,1,1.58,1.54,1.76
4162,1,1.67,0.5, 
4163,1,1,0.48, 
4164,1,2.58,1.35, 
4165,1,2.82,2.61,3.02
4166,1,2.29,2.05, 
4167,1,1.14, , 
4168,1,1.64,0.76, 
4171,1,1.82,0.08, 
4172,1,3.32,2.91,3.02
4196,1,1.47,0.47,1.58
4199,1,1.06,1.45, 
4216,1,0.97,0.14,0.02
4219,1,1.67,0.38, 
4220,1,2.94, , 
4221,1,1.55, , 
4223,1,1.35,2.32, 
4224,1,0.61,0.2,0.17
4226,1,1.52,2.72,0.52
4236,1,2.52, , 
4237,1,2,0.88,1.44
4238,1,2.63, , 
4239,1,0.73,0.85, 
4241,1,0.58, , 
4245,1,1.67, , 
4247,1,1.47, , 
4249,1,1.81, , 
4263,1,1.85,0.2, 
4265,1,1.55,1.32,1.19
4266,1,2.29,2.7, 
4267,1,1.76, , 
4271,1,2.52, , 
4274,1,2.82,0.17, 
4281,1,2.02, , 
4284,1,1.29, , 
4287,1,0.94, , 
4291,1,2,1.13,0.53
4292,1,0.73, , 
4295,1,2.23, , 
4298,1,0.55,0.38, 
4301,1,1.85, , 
4308,1,2.35, , 
4310,1,1.94, , 
4312,1,1.29, , 
4314,1,1.91, , 
4333,1,2.88, , 
4334,1,2.36, , 
4335,1,2.36, , 
4336,1,2.2, , 
4349,1,2.17,0.47,0.38
4353,1,1.52,0.55, 
4356,1,2.05, , 
4357,1,1.73, , 
4359,1,1.81, , 
4363,1,2.29,1.87,0.91
4366,1,2.57, , 
4370,1,1.58, , 
4382,1,2.33,0.82, 
4383,1,3.15, , 
4384,1,2.29, , 
4385,1,0.82, , 
4386,1,1.93, , 
4387,1,1.82, , 
4388,1,1.96, , 
4389,1,1.32,0.64,0.47
4391,1,1.02, , 
4392,1,1.14, , 
4393,1,2.32, , 
4396,1,2.42,1.7, 
4397,1,1.14, , 
4404,1,1.17, , 
4405,1,1,0.58,0.32
4410,1,1.05,0.11, 
4419,1,1.38, , 
4428,1,1.93,2.42, 
4430,1,2.73, , 
4435,1,2.02, , 
4436,1,2.81, , 
4437,1,2.47, , 
4441,1,2.5, , 
4442,1,2.45, , 
4443,1,2.17, , 
4447,1,1.23, , 
4448,1,2.14,0.85, 
4453,1,0.96, , 
4459,1,3.29,0.26, 
4467,1,2.63, , 
4468,1,1.7, , 
4479,1,1.82, , 
4481,1,1.58,0.14, 
4482,1,2.73, , 
4485,1,1.5,1.14, 
4488,1,2.02, , 
4509,1,1.41,0.55, 
4511,1,1.23,1.11,0.76
4512,1,2.7, , 
4514,1,1.97, , 
4517,1,2.84, , 
4525,1,1.08, , 
4533,1,2.97, , 
4552,1,0.94, , 
4553,1,2.97,1.94, 
4554,1,0.97, , 
4559,1,2.61, , 
4563,1,1.73,0.2,0.91
4564,1,3.38,3.44,3.41
4570,1,2.2,0.91, 
4571,1,2.14, , 
4590,1,3.21,2.85, 
4601,1,1.35, , 
4607,1,2.14,0.76, 
4654,1,2.02,1.78,2.55
4655,1,2.32, , 
4690,1,2.14,1.82, 
4692,1,2.88, , 
4696,1,0.64,1.32, 
4698,1,1.73,0.94, 
4699,1,1.82,1.52, 
4704,1,2.11, , 
4710,1,1.23, , 
4725,1,2.44,0.32, 
4744,1,0.61,0.44, 
4749,1,0.52, , 
4756,1,2.91,0.94, 
4758,1,2.61,1.44, 
4759,1,1.47, , 
4765,1,1.26, , 
